object_id,player_name,is_hsv,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,False,5.0,0.0,2.0,0.0,1.0,0.0,8.0
DFL-OBJ-002GEY,Ermedin Demirović,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GG4,Jens Castrop,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GJN,Ritsu Dōan,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GKG,Ansgar Knauff,False,4.0,0.0,0.0,0.0,3.0,1.0,8.0
DFL-OBJ-002GMV,Igor Matanović,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002GN3,Fisnik Asllani,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002GNN,Joseph Michael Scally,False,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-002GPZ,Justin Gideon Njinmah,False,2.5,0.0,0.0,0.5,2.0,4.0,9.0
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,False,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
DFL-OBJ-J00ZZ3,Harry Edward Kane,False,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-J0117M,Haris Tabaković,False,5.0,1.0,2.0,0.0,1.0,9.0,18.0
DFL-OBJ-J0133P,Vladimir Coufal,False,1.0,0.0,1.0,0.0,2.0,2.0,6.0
DFL-OBJ-J0157X,Manolis Saliakas,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,False,3.0,0.0,0.0,0.5,0.5,0.0,4.0
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,True,33.0,6.0,6.0,4.5,14.5,31.0,95.0
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,False,1.5,1.0,2.0,0.0,0.5,1.0,6.0
