time_block,TPR,game_state
0-15,0.4092025764321481,level
0-15,0.3732742703500199,level
0-15,0.3820091500154745,level
0-15,0.3806000790209118,level
0-15,0.4105260413717458,level
0-15,0.4423018575700391,level
0-15,0.3811628567962728,level
0-15,0.3098102431178495,level
0-15,0.2641298575630192,level
0-15,0.2908873753287395,level
0-15,0.3267704960009872,level
0-15,0.2807336338295921,level
0-15,0.3193161624395086,level
0-15,0.3141119206631342,level
0-15,0.1977026672682456,level
0-15,0.2487657443832655,level
0-15,0.2895025174345874,level
0-15,0.3369806186057096,level
0-15,0.338015127498175,level
0-15,0.3005217244181506,level
0-15,0.1821634009812355,level
0-15,0.3050035574564484,level
0-15,0.3185982036076804,level
0-15,0.3909146665286021,level
0-15,0.5242580221582833,level
0-15,0.3537482484200656,level
0-15,0.4547167888904352,level
0-15,0.5389586606888509,level
0-15,0.5373773504079984,level
0-15,0.4883010883227954,level
0-15,0.3345083162999573,level
0-15,0.4506325785504327,level
0-15,0.3218174354884593,level
0-15,0.299068539220491,level
0-15,0.4222366230104033,level
0-15,0.2495731520208506,level
0-15,0.2107136783167671,level
0-15,0.2645200908935543,level
0-15,0.2702839272691383,level
0-15,0.2738342417599608,level
0-15,0.259100767180763,level
0-15,0.263646661372448,level
0-15,0.285703353249136,level
0-15,0.3212062129569268,level
0-15,0.3991255306999158,level
0-15,0.4163199659642589,level
0-15,0.3486365543863093,level
0-15,0.3420131985925274,level
0-15,0.3574916675207577,level
0-15,0.4025002594029719,level
0-15,0.3293521932492694,level
0-15,0.3175444042175132,level
0-15,0.2637722692766158,level
0-15,0.3362920542771094,level
0-15,0.4244505357261053,level
0-15,0.356671386963888,level
0-15,0.2809523620243336,level
0-15,0.3208647079462328,level
0-15,0.3726398126004694,level
0-15,0.3538549637457423,level
0-15,0.4978849727763692,level
0-15,0.4478437697410496,level
0-15,0.3516441599311753,level
0-15,0.3218468863981987,level
0-15,0.3136307349545389,level
0-15,0.3071615392980437,level
0-15,0.2266075827560592,level
0-15,0.3239453116925568,level
0-15,0.2871324465165199,level
0-15,0.4038034219059215,level
0-15,0.4757399340081752,level
0-15,0.4442832375742511,level
0-15,0.3727022255986785,level
0-15,0.421970050166643,level
0-15,0.3487233838982827,level
0-15,0.3366813828526382,level
0-15,0.3675232932660763,level
0-15,0.3530131432698313,level
0-15,0.4986721761516066,level
0-15,0.4445516798970577,level
0-15,0.3479276342045034,level
0-15,0.5679649981541074,level
0-15,0.2282597905998655,level
0-15,0.2342319239612182,level
0-15,0.2446433541891273,level
0-15,0.2303553340707059,level
0-15,0.2983254372535989,level
0-15,0.3353149404309682,level
0-15,0.2922920388954146,level
0-15,0.3221130547553967,level
0-15,0.3144394217767424,level
0-15,0.5141705022746856,level
0-15,0.4376342833872218,level
0-15,0.447530483718804,level
0-15,0.2233605798791011,level
0-15,0.3864508827996551,level
0-15,0.6366658996223291,level
0-15,0.6294919328853146,level
0-15,0.6017744298012837,level
0-15,0.6778038287733942,level
0-15,0.6523165248270517,level
0-15,0.6058457408579627,level
0-15,0.3129277114192226,level
0-15,0.3133032032884966,level
0-15,0.3697215566790799,level
0-15,0.4599368094729874,level
0-15,0.4133437132081513,level
0-15,0.3167583047506008,level
0-15,0.2630906166921734,level
0-15,0.2479161210372018,level
0-15,0.3530615266716418,level
0-15,0.2915793986472891,level
