object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-00264T,Waldemar Anton,DFL-MAT-J041WN,14,27.067250643201554
DFL-OBJ-J021AR,Martijn Kaars,DFL-MAT-J041YV,14,30.20062924117147
DFL-OBJ-J021AR,Martijn Kaars,DFL-MAT-J041UN,14,30.10231059773222
DFL-OBJ-00264N,Nico Elvedi,DFL-MAT-J041YN,13,42.51048560699628
DFL-OBJ-J024CC,Yan Diomande,DFL-MAT-J041VR,13,30.8113803001034
DFL-OBJ-0027G6,Serge David Gnabry,DFL-MAT-J041Z5,13,25.74558716039563
DFL-OBJ-0027B9,Lucas Höler,DFL-MAT-J0422E,13,35.1282457209433
DFL-OBJ-J01UD5,Lennart Karl,DFL-MAT-J041UO,13,24.209842186363897
DFL-OBJ-J02452,Mathias Pereira Lage,DFL-MAT-J041UN,13,31.605160067765954
DFL-OBJ-002G1Y,Sheraldo Rudi Salomo Willem Becker,DFL-MAT-J041ZQ,13,29.17608523713987
DFL-OBJ-J021B9,Nikolas Konrad Veratschnig,DFL-MAT-J041ZQ,13,24.227850673947465
DFL-OBJ-J01N62,Badredine Bouanani,DFL-MAT-J041X5,13,25.83482660609694
DFL-OBJ-002GEY,Ermedin Demirović,DFL-MAT-J04219,13,28.52260389849965
DFL-OBJ-J01CT9,Samuel Emmanuel Essende Mbongu,DFL-MAT-J041WT,13,28.16586508308058
DFL-OBJ-J020YN,Marco Grüll,DFL-MAT-J0421J,12,32.88752086010763
DFL-OBJ-J01ISO,Elias Saad,DFL-MAT-J041WT,12,27.889259055323052
DFL-OBJ-J01NP1,Abdoul Karim Coulibaly,DFL-MAT-J0421J,12,41.22672680491351
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,DFL-MAT-J0420A,12,28.080090731684667
DFL-OBJ-J01EAZ,Arijon Ibrahimović,DFL-MAT-J041V5,12,31.900113890430617
DFL-OBJ-0027KL,Dayotchanculle Oswald Upamecano,DFL-MAT-J041UO,12,28.481641335208906
DFL-OBJ-0025RV,Hauke Finn Wahl,DFL-MAT-J041UN,12,30.388133305675424
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,DFL-MAT-J0420N,12,26.60994885103858
DFL-OBJ-J019JX,Kevin Diks Bakarbessy,DFL-MAT-J041YN,12,33.63461596680851
DFL-OBJ-J01VYC,Livan Baha Burcu,DFL-MAT-J041ZN,11,35.87664981727233
DFL-OBJ-J024K2,Yannik Wagner,DFL-MAT-J041V5,11,25.715824792462787
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,DFL-MAT-J041W5,11,27.247961433812808
DFL-OBJ-J01QPQ,Ibrahim Maza,DFL-MAT-J0422G,11,31.46171618313226
DFL-OBJ-002FXB,Ozan Muhammed Kabak,DFL-MAT-J0421W,11,17.48057653818312
DFL-OBJ-002GCC,Armindo Sieb,DFL-MAT-J041VN,11,30.322840960589588
DFL-OBJ-J01RKL,Joel Chima Fujita,DFL-MAT-J041UN,11,31.692134749633556
DFL-OBJ-0001E6,Vincenzo Grifo,DFL-MAT-J0422E,11,32.176833165871926
DFL-OBJ-002G7P,Maximilian Beier,DFL-MAT-J041WN,11,27.43868563098349
DFL-OBJ-0000Y4,Maximilian Arnold,DFL-MAT-J0420A,11,26.266285434504358
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,DFL-MAT-J0421J,11,33.66735848913845
DFL-OBJ-002651,Benedikt Steffen Gimber,DFL-MAT-J041ZD,11,35.031756572296665
DFL-OBJ-0027WP,Philipp Lienhart,DFL-MAT-J041Y0,11,27.058631288036022
DFL-OBJ-J01TMV,Robin Hranáč,DFL-MAT-J0421W,11,27.544612175549354
DFL-OBJ-0001EA,Rani Khedira,DFL-MAT-J041ZN,10,19.58119704105273
DFL-OBJ-J01D9B,Ramon Hendriks,DFL-MAT-J041X5,10,23.40211673061126
DFL-OBJ-0026TU,Andrej Kramarić,DFL-MAT-J041XN,10,25.735430918708097
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,DFL-MAT-J041WE,10,28.10787516907998
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,DFL-MAT-J0421J,10,27.58118726545763
DFL-OBJ-J0258E,Kento Shiogai,DFL-MAT-J0420A,9,22.868372427342496
DFL-OBJ-0025RV,Hauke Finn Wahl,DFL-MAT-J041YV,9,27.538308099222704
DFL-OBJ-0025W7,Robin Leon Koch,DFL-MAT-J0421Z,9,36.89784705227065
DFL-OBJ-00286V,Nikolas Terkelsen Nartey,DFL-MAT-J04219,9,14.532942501808066
DFL-OBJ-J01XEE,Farès Chaïbi,DFL-MAT-J0421Z,9,30.40503931244402
DFL-OBJ-002GN4,Adam Dźwigała,DFL-MAT-J041YV,9,29.911147392399453
DFL-OBJ-002GN3,Fisnik Asllani,DFL-MAT-J041XN,9,27.379595076376894
DFL-OBJ-002GC8,Jessic Gaïtan Ngankam,DFL-MAT-J041XW,9,24.85230697777879
DFL-OBJ-0000ZS,Matthias Lukas Ginter,DFL-MAT-J041Y0,9,21.73488767226322
DFL-OBJ-J01D90,Wouter Burger,DFL-MAT-J0421W,9,31.5197437552494
DFL-OBJ-0001E6,Vincenzo Grifo,DFL-MAT-J041Y0,9,23.460587449587486
DFL-OBJ-J021ET,Mohamed El Amine Amoura,DFL-MAT-J0420A,9,21.76823632737664
DFL-OBJ-0002AD,Lukas Manuel Klostermann,DFL-MAT-J041VR,9,25.588574162064756
DFL-OBJ-00019U,Anthony Jung,DFL-MAT-J041Y0,9,16.77803958545332
